first_well	second_well	pearsons_coef	first_construct	second_construct	concentration	comparison
B2	B5	0.020185628102701685	no_treatment	no_treatment	0.0	same_construct
B2	B8	0.044378560803891465	no_treatment	no_treatment	0.0	same_construct
B2	B11	-0.034815383116547464	no_treatment	no_treatment	0.0	same_construct
B2	C2	-0.2907783583915557	no_treatment	no_treatment	0.0	same_construct
B2	C5	-0.23768956594686402	no_treatment	no_treatment	0.0	same_construct
B2	C8	-0.2834473372441358	no_treatment	no_treatment	0.0	same_construct
B2	C11	-0.06579241149544601	no_treatment	no_treatment	0.0	same_construct
B2	D2	-0.2290537226428069	no_treatment	no_treatment	0.0	same_construct
B2	D5	-0.21736401251781987	no_treatment	no_treatment	0.0	same_construct
B2	D8	-0.2515447288755443	no_treatment	no_treatment	0.0	same_construct
B2	D11	-0.11649385609252706	no_treatment	no_treatment	0.0	same_construct
B2	E11	0.01477816628663002	no_treatment	no_treatment	0.0	same_construct
B2	F11	-0.3138771463274125	no_treatment	no_treatment	0.0	same_construct
B2	G11	-0.39727453629656306	no_treatment	no_treatment	0.0	same_construct
B3	B7	-0.035322827356051786	Scramble	Scramble	0.05	same_construct
B3	B9	-0.00618295657572514	Scramble	Scramble	0.05	same_construct
B4	B6	0.03257583473813502	Scramble	Scramble	0.005	same_construct
B4	B10	0.14469381728110398	Scramble	Scramble	0.005	same_construct
B5	B8	-0.0530623633798992	no_treatment	no_treatment	0.0	same_construct
B5	B11	0.09718058686682456	no_treatment	no_treatment	0.0	same_construct
B5	C2	0.09390927026185647	no_treatment	no_treatment	0.0	same_construct
B5	C5	0.09830701459540979	no_treatment	no_treatment	0.0	same_construct
B5	C8	0.11757168073783007	no_treatment	no_treatment	0.0	same_construct
B5	C11	0.08623026126442523	no_treatment	no_treatment	0.0	same_construct
B5	D2	-0.007314731271551316	no_treatment	no_treatment	0.0	same_construct
B5	D5	0.05793882065896047	no_treatment	no_treatment	0.0	same_construct
B5	D8	-0.06276568233185688	no_treatment	no_treatment	0.0	same_construct
B5	D11	0.06608889110628025	no_treatment	no_treatment	0.0	same_construct
B5	E11	0.07358249633089245	no_treatment	no_treatment	0.0	same_construct
B5	F11	0.02683835164342534	no_treatment	no_treatment	0.0	same_construct
B5	G11	-0.0032942638174596997	no_treatment	no_treatment	0.0	same_construct
B6	B10	-0.04480057260735781	Scramble	Scramble	0.005	same_construct
B7	B9	0.1352884401398237	Scramble	Scramble	0.05	same_construct
B8	B11	-0.10434355687279834	no_treatment	no_treatment	0.0	same_construct
B8	C2	0.01095547725127999	no_treatment	no_treatment	0.0	same_construct
B8	C5	-0.06822697919187008	no_treatment	no_treatment	0.0	same_construct
B8	C8	0.09831198203364348	no_treatment	no_treatment	0.0	same_construct
B8	C11	-0.024523628256304875	no_treatment	no_treatment	0.0	same_construct
B8	D2	-0.01354467363681642	no_treatment	no_treatment	0.0	same_construct
B8	D5	-0.004517096130275334	no_treatment	no_treatment	0.0	same_construct
B8	D8	0.02169777894769872	no_treatment	no_treatment	0.0	same_construct
B8	D11	-0.041733322694644276	no_treatment	no_treatment	0.0	same_construct
B8	E11	-0.00011412882442293948	no_treatment	no_treatment	0.0	same_construct
B8	F11	0.04403169506021844	no_treatment	no_treatment	0.0	same_construct
B8	G11	0.028146128123438936	no_treatment	no_treatment	0.0	same_construct
B11	C2	-0.019734147171266113	no_treatment	no_treatment	0.0	same_construct
B11	C5	-0.07303390167346821	no_treatment	no_treatment	0.0	same_construct
B11	C8	-0.07530626607129638	no_treatment	no_treatment	0.0	same_construct
B11	C11	0.07077938437464545	no_treatment	no_treatment	0.0	same_construct
B11	D2	-0.082828472125889	no_treatment	no_treatment	0.0	same_construct
B11	D5	0.0001721952536024272	no_treatment	no_treatment	0.0	same_construct
B11	D8	-0.03650961889570596	no_treatment	no_treatment	0.0	same_construct
B11	D11	0.08122637011854016	no_treatment	no_treatment	0.0	same_construct
B11	E11	-0.21012124164739432	no_treatment	no_treatment	0.0	same_construct
B11	F11	-0.06877955366394169	no_treatment	no_treatment	0.0	same_construct
B11	G11	0.05643486503350701	no_treatment	no_treatment	0.0	same_construct
C2	C5	0.1666378142273543	no_treatment	no_treatment	0.0	same_construct
C2	C8	0.4325399222467585	no_treatment	no_treatment	0.0	same_construct
C2	C11	-0.18178270219362594	no_treatment	no_treatment	0.0	same_construct
C2	D2	0.3512238027499292	no_treatment	no_treatment	0.0	same_construct
C2	D5	0.28834757157977003	no_treatment	no_treatment	0.0	same_construct
C2	D8	0.28691156276800944	no_treatment	no_treatment	0.0	same_construct
C2	D11	-0.12377332320203667	no_treatment	no_treatment	0.0	same_construct
C2	E11	0.15371236665787436	no_treatment	no_treatment	0.0	same_construct
C2	F11	0.47274692555626197	no_treatment	no_treatment	0.0	same_construct
C2	G11	0.3188055894289191	no_treatment	no_treatment	0.0	same_construct
C5	C8	0.27571753771960517	no_treatment	no_treatment	0.0	same_construct
C5	C11	-0.00919126998289516	no_treatment	no_treatment	0.0	same_construct
C5	D2	0.3300963177585821	no_treatment	no_treatment	0.0	same_construct
C5	D5	0.15338411929284673	no_treatment	no_treatment	0.0	same_construct
C5	D8	0.12370729194295618	no_treatment	no_treatment	0.0	same_construct
C5	D11	0.1080929214188765	no_treatment	no_treatment	0.0	same_construct
C5	E11	0.08576161329732776	no_treatment	no_treatment	0.0	same_construct
C5	F11	0.14655773283690715	no_treatment	no_treatment	0.0	same_construct
C5	G11	0.10821341853926916	no_treatment	no_treatment	0.0	same_construct
C8	C11	-0.07140013116289415	no_treatment	no_treatment	0.0	same_construct
C8	D2	0.33554978272541314	no_treatment	no_treatment	0.0	same_construct
C8	D5	0.32698031823762663	no_treatment	no_treatment	0.0	same_construct
C8	D8	0.23963347953858494	no_treatment	no_treatment	0.0	same_construct
C8	D11	-0.054988896182747424	no_treatment	no_treatment	0.0	same_construct
C8	E11	0.11120743345519073	no_treatment	no_treatment	0.0	same_construct
C8	F11	0.31722820194545015	no_treatment	no_treatment	0.0	same_construct
C8	G11	0.18872520790903613	no_treatment	no_treatment	0.0	same_construct
C11	D2	-0.04792854927158944	no_treatment	no_treatment	0.0	same_construct
C11	D5	-0.19703166285095142	no_treatment	no_treatment	0.0	same_construct
C11	D8	-0.24789010519169702	no_treatment	no_treatment	0.0	same_construct
C11	D11	0.22847316214799315	no_treatment	no_treatment	0.0	same_construct
C11	E11	-0.014664806348662776	no_treatment	no_treatment	0.0	same_construct
C11	F11	-0.25727032823836055	no_treatment	no_treatment	0.0	same_construct
C11	G11	-0.060467870553544724	no_treatment	no_treatment	0.0	same_construct
D2	D5	0.27122041541753705	no_treatment	no_treatment	0.0	same_construct
D2	D8	0.24594656792452235	no_treatment	no_treatment	0.0	same_construct
D2	D11	0.02325452918113931	no_treatment	no_treatment	0.0	same_construct
D2	E11	0.09727720841305329	no_treatment	no_treatment	0.0	same_construct
D2	F11	0.33707714388520466	no_treatment	no_treatment	0.0	same_construct
D2	G11	0.28735793860817943	no_treatment	no_treatment	0.0	same_construct
D5	D8	0.24221492199963796	no_treatment	no_treatment	0.0	same_construct
D5	D11	-0.08678060088412577	no_treatment	no_treatment	0.0	same_construct
D5	E11	-0.06438441053162806	no_treatment	no_treatment	0.0	same_construct
D5	F11	0.17799662158480706	no_treatment	no_treatment	0.0	same_construct
D5	G11	0.15325227125377688	no_treatment	no_treatment	0.0	same_construct
D8	D11	-0.11821422331141042	no_treatment	no_treatment	0.0	same_construct
D8	E11	-0.022208416870279683	no_treatment	no_treatment	0.0	same_construct
D8	F11	0.3799270190908766	no_treatment	no_treatment	0.0	same_construct
D8	G11	0.1548280575755411	no_treatment	no_treatment	0.0	same_construct
D11	E11	-0.031946738729653465	no_treatment	no_treatment	0.0	same_construct
D11	F11	-0.15701910367851984	no_treatment	no_treatment	0.0	same_construct
D11	G11	-0.08139421026355315	no_treatment	no_treatment	0.0	same_construct
E2	E5	0.0570085024735279	Scramble	Scramble	0.1	same_construct
E2	E8	0.027155034442356944	Scramble	Scramble	0.1	same_construct
E3	E6	0.12922094097127815	Scramble	Scramble	0.01	same_construct
E3	E9	0.2656442368194854	Scramble	Scramble	0.01	same_construct
E4	E7	0.013892369871608608	Scramble	Scramble	0.001	same_construct
E4	E10	-0.17040324519368577	Scramble	Scramble	0.001	same_construct
E5	E8	0.08058817146438324	Scramble	Scramble	0.1	same_construct
E6	E9	0.28996970249093795	Scramble	Scramble	0.01	same_construct
E7	E10	0.028203023400641822	Scramble	Scramble	0.001	same_construct
E11	F11	0.1368562511390332	no_treatment	no_treatment	0.0	same_construct
E11	G11	-0.10811251837479853	no_treatment	no_treatment	0.0	same_construct
F11	G11	0.4200903305403509	no_treatment	no_treatment	0.0	same_construct
B2	B5	0.020185628102701685	no_treatment	no_treatment	0.0	same_construct
B2	B8	0.044378560803891465	no_treatment	no_treatment	0.0	same_construct
B2	B11	-0.034815383116547464	no_treatment	no_treatment	0.0	same_construct
B2	C2	-0.2907783583915557	no_treatment	no_treatment	0.0	same_construct
B2	C5	-0.23768956594686402	no_treatment	no_treatment	0.0	same_construct
B2	C8	-0.2834473372441358	no_treatment	no_treatment	0.0	same_construct
B2	C11	-0.06579241149544601	no_treatment	no_treatment	0.0	same_construct
B2	D2	-0.2290537226428069	no_treatment	no_treatment	0.0	same_construct
