first_well	second_well	pearsons_coef	first_construct	second_construct	concentration	comparison
B10	C10	0.26857092111697545	NF1 Target 1	Scramble	0.005	different_construct
B10	C4	0.26969632937227195	NF1 Target 1	Scramble	0.005	different_construct
B10	C7	0.1667247818313454	NF1 Target 1	Scramble	0.005	different_construct
B3	C3	0.3577002831368645	NF1 Target 1	Scramble	0.05	different_construct
B3	C6	-0.0348243339610437	NF1 Target 1	Scramble	0.05	different_construct
B3	C9	0.16938125522503475	NF1 Target 1	Scramble	0.05	different_construct
B4	C10	0.32213833185061247	NF1 Target 1	Scramble	0.005	different_construct
B4	C4	0.3843536685412424	NF1 Target 1	Scramble	0.005	different_construct
B4	C7	0.19661559373366824	NF1 Target 1	Scramble	0.005	different_construct
B6	C10	0.6719703675265167	NF1 Target 1	Scramble	0.005	different_construct
B6	C4	0.5105670781446995	NF1 Target 1	Scramble	0.005	different_construct
B6	C7	0.6834598307498353	NF1 Target 1	Scramble	0.005	different_construct
B7	C3	0.34330325464223804	NF1 Target 1	Scramble	0.05	different_construct
B7	C6	0.09182579590738334	NF1 Target 1	Scramble	0.05	different_construct
B7	C9	0.16158080849280756	NF1 Target 1	Scramble	0.05	different_construct
B9	C3	0.2964134234683261	NF1 Target 1	Scramble	0.05	different_construct
B9	C6	-4.8471409849091274e-05	NF1 Target 1	Scramble	0.05	different_construct
B9	C9	0.19515041786768156	NF1 Target 1	Scramble	0.05	different_construct
C10	B10	0.26857092111697545	NF1 Target 1	Scramble	0.005	different_construct
C10	B4	0.32213833185061247	NF1 Target 1	Scramble	0.005	different_construct
C10	B6	0.6719703675265167	NF1 Target 1	Scramble	0.005	different_construct
C3	B3	0.3577002831368645	NF1 Target 1	Scramble	0.05	different_construct
C3	B7	0.34330325464223804	NF1 Target 1	Scramble	0.05	different_construct
C3	B9	0.2964134234683261	NF1 Target 1	Scramble	0.05	different_construct
C4	B10	0.26969632937227195	NF1 Target 1	Scramble	0.005	different_construct
C4	B4	0.3843536685412424	NF1 Target 1	Scramble	0.005	different_construct
C4	B6	0.5105670781446995	NF1 Target 1	Scramble	0.005	different_construct
C6	B3	-0.0348243339610437	NF1 Target 1	Scramble	0.05	different_construct
C6	B7	0.09182579590738334	NF1 Target 1	Scramble	0.05	different_construct
C6	B9	-4.8471409849091274e-05	NF1 Target 1	Scramble	0.05	different_construct
C7	B10	0.1667247818313454	NF1 Target 1	Scramble	0.005	different_construct
C7	B4	0.19661559373366824	NF1 Target 1	Scramble	0.005	different_construct
C7	B6	0.6834598307498353	NF1 Target 1	Scramble	0.005	different_construct
C9	B3	0.16938125522503475	NF1 Target 1	Scramble	0.05	different_construct
C9	B7	0.16158080849280756	NF1 Target 1	Scramble	0.05	different_construct
C9	B9	0.19515041786768156	NF1 Target 1	Scramble	0.05	different_construct
E10	F10	0.09177087165771275	NF1 Target 1	Scramble	0.001	different_construct
E10	F4	0.28634258949204844	NF1 Target 1	Scramble	0.001	different_construct
E10	F7	0.2664809654511963	NF1 Target 1	Scramble	0.001	different_construct
E2	F2	0.18412747172545077	NF1 Target 1	Scramble	0.1	different_construct
E2	F5	0.08362546195236942	NF1 Target 1	Scramble	0.1	different_construct
E2	F8	0.0784202226338613	NF1 Target 1	Scramble	0.1	different_construct
E3	F3	0.18144317857840722	NF1 Target 1	Scramble	0.01	different_construct
E3	F6	0.10976636595844678	NF1 Target 1	Scramble	0.01	different_construct
E3	F9	-0.24563449110645677	NF1 Target 1	Scramble	0.01	different_construct
E4	F10	0.367601045523107	NF1 Target 1	Scramble	0.001	different_construct
E4	F4	0.4150216164673325	NF1 Target 1	Scramble	0.001	different_construct
E4	F7	0.31235684227937166	NF1 Target 1	Scramble	0.001	different_construct
E5	F2	0.038278770828366865	NF1 Target 1	Scramble	0.1	different_construct
E5	F5	-0.1325693389883412	NF1 Target 1	Scramble	0.1	different_construct
E5	F8	-0.13137061502283573	NF1 Target 1	Scramble	0.1	different_construct
E6	F3	0.22950755279863896	NF1 Target 1	Scramble	0.01	different_construct
E6	F6	0.18131812899478447	NF1 Target 1	Scramble	0.01	different_construct
E6	F9	-0.14311944890419184	NF1 Target 1	Scramble	0.01	different_construct
E7	F10	0.22318321930044968	NF1 Target 1	Scramble	0.001	different_construct
E7	F4	0.3118639670898439	NF1 Target 1	Scramble	0.001	different_construct
E7	F7	0.18749763315662502	NF1 Target 1	Scramble	0.001	different_construct
E8	F2	-0.07365709504496278	NF1 Target 1	Scramble	0.1	different_construct
E8	F5	-0.13284976823235187	NF1 Target 1	Scramble	0.1	different_construct
E8	F8	-0.16182984483246549	NF1 Target 1	Scramble	0.1	different_construct
E9	F3	0.0598609012844148	NF1 Target 1	Scramble	0.01	different_construct
E9	F6	0.06920675655128396	NF1 Target 1	Scramble	0.01	different_construct
E9	F9	-0.27757744536211243	NF1 Target 1	Scramble	0.01	different_construct
F10	E10	0.09177087165771275	NF1 Target 1	Scramble	0.001	different_construct
F10	E4	0.367601045523107	NF1 Target 1	Scramble	0.001	different_construct
F10	E7	0.22318321930044968	NF1 Target 1	Scramble	0.001	different_construct
F2	E2	0.18412747172545077	NF1 Target 1	Scramble	0.1	different_construct
F2	E5	0.038278770828366865	NF1 Target 1	Scramble	0.1	different_construct
F2	E8	-0.07365709504496278	NF1 Target 1	Scramble	0.1	different_construct
F3	E3	0.18144317857840722	NF1 Target 1	Scramble	0.01	different_construct
F3	E6	0.22950755279863896	NF1 Target 1	Scramble	0.01	different_construct
F3	E9	0.0598609012844148	NF1 Target 1	Scramble	0.01	different_construct
F4	E10	0.28634258949204844	NF1 Target 1	Scramble	0.001	different_construct
F4	E4	0.4150216164673325	NF1 Target 1	Scramble	0.001	different_construct
F4	E7	0.3118639670898439	NF1 Target 1	Scramble	0.001	different_construct
F5	E2	0.08362546195236942	NF1 Target 1	Scramble	0.1	different_construct
F5	E5	-0.1325693389883412	NF1 Target 1	Scramble	0.1	different_construct
F5	E8	-0.13284976823235187	NF1 Target 1	Scramble	0.1	different_construct
F6	E3	0.10976636595844678	NF1 Target 1	Scramble	0.01	different_construct
F6	E6	0.18131812899478447	NF1 Target 1	Scramble	0.01	different_construct
F6	E9	0.06920675655128396	NF1 Target 1	Scramble	0.01	different_construct
F7	E10	0.2664809654511963	NF1 Target 1	Scramble	0.001	different_construct
F7	E4	0.31235684227937166	NF1 Target 1	Scramble	0.001	different_construct
F7	E7	0.18749763315662502	NF1 Target 1	Scramble	0.001	different_construct
F8	E2	0.0784202226338613	NF1 Target 1	Scramble	0.1	different_construct
F8	E5	-0.13137061502283573	NF1 Target 1	Scramble	0.1	different_construct
F8	E8	-0.16182984483246549	NF1 Target 1	Scramble	0.1	different_construct
F9	E3	-0.24563449110645677	NF1 Target 1	Scramble	0.01	different_construct
F9	E6	-0.14311944890419184	NF1 Target 1	Scramble	0.01	different_construct
F9	E9	-0.27757744536211243	NF1 Target 1	Scramble	0.01	different_construct
B10	D10	0.4061792572595312	NF1 Target 2	Scramble	0.005	different_construct
B10	D4	0.28207585964983733	NF1 Target 2	Scramble	0.005	different_construct
B10	D7	0.3493593096919094	NF1 Target 2	Scramble	0.005	different_construct
B3	D3	0.5981162954225878	NF1 Target 2	Scramble	0.05	different_construct
B3	D6	0.3149703364307903	NF1 Target 2	Scramble	0.05	different_construct
B3	D9	0.4816308385138615	NF1 Target 2	Scramble	0.05	different_construct
B4	D10	0.41658702011617477	NF1 Target 2	Scramble	0.005	different_construct
B4	D4	0.48742261392956593	NF1 Target 2	Scramble	0.005	different_construct
B4	D7	0.34846802045218883	NF1 Target 2	Scramble	0.005	different_construct
