Features	feature_importance
Cells_Texture_InfoMeas1_DAPI_3_03_256	0.1508894825060723
Cytoplasm_Texture_InfoMeas1_DAPI_3_02_256	0.129589833691353
Cytoplasm_Texture_InfoMeas1_DAPI_3_00_256	0.11716610151661157
Cells_Texture_Entropy_DAPI_3_02_256	0.11308191938772916
Cytoplasm_Intensity_MeanIntensityEdge_DAPI	0.05476000654754735
Cells_Intensity_MeanIntensityEdge_DAPI	0.04918875819279126
Cytoplasm_Intensity_UpperQuartileIntensity_DAPI	0.03115021710924268
Cytoplasm_Texture_InverseDifferenceMoment_GFP_3_02_256	0.02396666854553574
Cells_Texture_Correlation_GFP_3_02_256	0.02370863104123164
Cytoplasm_Texture_Correlation_DAPI_3_01_256	0.02340646991755195
Cytoplasm_Correlation_K_DAPI_RFP	0.02230361566772518
Cytoplasm_Correlation_RWC_GFP_DAPI	0.021017511715653008
Nuclei_Intensity_MinIntensity_DAPI	0.020708002780030158
Nuclei_Correlation_RWC_GFP_RFP	0.02048027112271727
Cells_Correlation_Correlation_DAPI_GFP	0.019421318626127206
Cytoplasm_Intensity_UpperQuartileIntensity_GFP	0.01844170572736601
Cells_Correlation_RWC_DAPI_GFP	0.01780673269715029
Cytoplasm_Texture_InfoMeas2_DAPI_3_03_256	0.01724294996555052
Cytoplasm_Correlation_K_RFP_DAPI	0.01688114974682631
Cytoplasm_Correlation_RWC_RFP_GFP	0.016765491543148426
Cytoplasm_AreaShape_FormFactor	0.016338478968501737
Cytoplasm_Texture_Correlation_DAPI_3_03_256	0.01617672440267684
Nuclei_Texture_InfoMeas2_GFP_3_00_256	0.01587529509652343
Cytoplasm_Texture_InfoMeas2_DAPI_3_01_256	0.015757219791283774
Cytoplasm_Correlation_RWC_DAPI_GFP	0.015362037718084351
Cytoplasm_Intensity_MADIntensity_DAPI	0.014545997529299989
Cytoplasm_Intensity_MedianIntensity_GFP	0.014430977638062637
Cytoplasm_Correlation_K_DAPI_GFP	0.01402067813146394
Cytoplasm_Correlation_Correlation_CY5_DAPI	0.013206531635613838
Cells_Correlation_K_GFP_RFP	0.012739197124681426
Nuclei_Intensity_MeanIntensityEdge_GFP	0.012558522897213042
Cytoplasm_RadialDistribution_RadialCV_DAPI_2of4	0.012315031650328434
Cytoplasm_Granularity_1_DAPI	0.011852415739200076
Cytoplasm_Intensity_MeanIntensityEdge_GFP	0.011761510539330134
Cells_Granularity_1_GFP	0.011735688042830593
Cytoplasm_Correlation_Costes_DAPI_RFP	0.011696611291589809
Cells_Texture_SumVariance_DAPI_3_01_256	0.011422463990871226
Cells_Intensity_UpperQuartileIntensity_DAPI	0.010544820681819606
Cytoplasm_RadialDistribution_MeanFrac_DAPI_3of4	0.009630081156280716
Nuclei_Texture_InfoMeas2_RFP_3_02_256	0.009356370326564762
Nuclei_Texture_Correlation_GFP_3_00_256	0.009065375575984138
Nuclei_AreaShape_Eccentricity	0.008888873712747032
Nuclei_Intensity_MADIntensity_GFP	0.008818367065875778
Cells_Correlation_Correlation_CY5_DAPI	0.008807412000896145
Nuclei_RadialDistribution_FracAtD_DAPI_1of4	0.008255002322049726
Nuclei_Correlation_RWC_CY5_GFP	0.008046430948402595
Cytoplasm_Correlation_K_GFP_DAPI	0.007945623670579391
Nuclei_Correlation_K_RFP_CY5	0.007581920926624905
Nuclei_RadialDistribution_RadialCV_GFP_3of4	0.0075527705410765615
Nuclei_Texture_Correlation_RFP_3_00_256	0.0075076524834843325
Nuclei_AreaShape_MinFeretDiameter	0.007469331679089937
Cytoplasm_Correlation_Overlap_DAPI_RFP	0.007186215553551675
Cytoplasm_Intensity_MeanIntensityEdge_CY5	0.007171889329429172
Cells_RadialDistribution_MeanFrac_DAPI_4of4	0.0070925646096027355
Nuclei_Texture_SumEntropy_RFP_3_00_256	0.006950035033613799
Nuclei_Texture_Correlation_RFP_3_02_256	0.006860317964493989
Cells_Correlation_Overlap_CY5_GFP	0.006677979025746506
Cytoplasm_Texture_DifferenceEntropy_RFP_3_01_256	0.006484801393681399
Nuclei_Correlation_RWC_GFP_CY5	0.006427057514218611
Cytoplasm_Texture_DifferenceEntropy_RFP_3_03_256	0.0063871896819399565
Cytoplasm_AreaShape_MeanRadius	0.006378062819141359
