Features	HET	Null	WT	Overall
Cells_Texture_InfoMeas1_DAPI_3_03_256	0.03669405318421207	0.01516118214140469	0.004633803731914379	0.018829679685843714
Cytoplasm_Texture_InfoMeas1_DAPI_3_02_256	0.0335716610426309	0.00794213699662174	0.007447853298152266	0.016320550445801635
Cytoplasm_Texture_InfoMeas1_DAPI_3_00_256	0.02737764808997743	0.009018148694056686	0.005974201367551302	0.014123332717195139
Cells_Texture_Entropy_DAPI_3_02_256	0.016241057433894406	0.01379667916126606	0.016916684852568534	0.01565147381590967
Cytoplasm_Intensity_MeanIntensityEdge_DAPI	0.015918818527479818	0.01523845541837316	0.0033838985877125594	0.01151372417785518
Cells_Texture_SumVariance_DAPI_3_01_256	0.015388003112206243	0.011637619061315944	0.002661211298196134	0.00989561115723944
Cytoplasm_Texture_InfoMeas2_DAPI_3_03_256	0.014810049025250559	0.009346581276507282	0.011555575894300089	0.01190406873201931
Cells_Texture_AngularSecondMoment_DAPI_3_01_256	0.012422749650000285	0.017676891606874218	0.0018401323716345482	0.010646591209503018
Cells_Texture_SumAverage_DAPI_3_02_256	0.011500617305720343	0.01169757721122986	0.006701308181956578	0.009966500899635593
Cytoplasm_Correlation_Correlation_CY5_DAPI	0.010605889856110703	0.004251238585318556	0.0009887537409839844	0.005281960727471081
Cells_Intensity_MeanIntensityEdge_DAPI	0.010512726520962693	0.0045566037249722725	0.006601248071586155	0.007223526105840373
Cells_AreaShape_Solidity	0.009911863060678303	0.002938873012329032	0.01027974499572264	0.0077101603562433245
Nuclei_Intensity_LowerQuartileIntensity_DAPI	0.00923776927853097	0.004666564872819152	0.004836964911285996	0.006247099687545373
Nuclei_AreaShape_MajorAxisLength	0.008284565117514542	0.002325739517501745	0.001743189754465765	0.004117831463160684
Cells_Intensity_UpperQuartileIntensity_DAPI	0.008237280751223297	0.0003483027088988998	0.0028114489771567247	0.003799010812426307
Cells_AreaShape_FormFactor	0.007718066988210721	0.004690485364622114	0.00899077543140266	0.007133109261411832
Cells_Correlation_RWC_DAPI_RFP	0.007538935201825522	0.0039278557776121735	0.0013417198261502631	0.004269503601862653
Nuclei_Correlation_K_GFP_DAPI	0.007293106958721262	0.0049883026118429765	0.0030538961159645153	0.005111768562176252
Nuclei_Correlation_RWC_RFP_GFP	0.0069451464458068065	0.0009500138334863992	0.002857135981155047	0.0035840987534827506
Cytoplasm_Texture_DifferenceEntropy_GFP_3_02_256	0.006851211128465847	0.006865842946605013	0.012225690068909676	0.008647581381326845
Cells_Texture_InfoMeas2_DAPI_3_00_256	0.006840899695606946	0.01083980137530137	0.0018016516133501084	0.006494117561419474
Cytoplasm_Correlation_K_RFP_DAPI	0.006839703412764324	0.0005256371016772336	0.007590395339520678	0.004985245284654078
Cytoplasm_Intensity_StdIntensityEdge_DAPI	0.006529481966260561	0.011540798498039967	0.0005470146135095065	0.006205765025936678
Cytoplasm_Texture_Correlation_DAPI_3_03_256	0.006003442089901973	0.001264060696874191	0.008112608089362334	0.005126703625379499
Cytoplasm_Correlation_Costes_DAPI_RFP	0.0059624782721676576	0.0012949494205326427	0.006344660853931125	0.004534029515543808
Nuclei_AreaShape_MinFeretDiameter	0.005930510991699713	0.004024581697763316	0.0017638901147810438	0.003906327601414691
Cytoplasm_Texture_Correlation_DAPI_3_01_256	0.005927771091102121	0.0007646508650093228	0.009793098169554714	0.005495173375222053
Cytoplasm_Correlation_RWC_DAPI_CY5	0.005760063445260522	0.0010025249941467578	0.0006001141556028933	0.0024542341983367242
Cells_AreaShape_Zernike_2_0	0.005730031816568691	0.005526187428936123	0.0020808438115166596	0.004445687685673824
Cells_Granularity_1_DAPI	0.005709028213100202	0.0032688284173839387	0.0073267837642994596	0.0054348801315945335
Nuclei_Intensity_StdIntensityEdge_CY5	0.005615537848301504	0.004339327011081953	0.0018754357172787903	0.0039434335255540826
Cytoplasm_Texture_InfoMeas1_GFP_3_00_256	0.0053907171177175976	0.001050774387324225	0.001705504367806578	0.0027156652909494667
Cells_Correlation_Correlation_CY5_DAPI	0.005209133306583378	0.01795908937396722	0.010189886629678162	0.011119369770076252
Cytoplasm_Correlation_K_DAPI_RFP	0.005176906620751774	0.0060951489739110905	0.001298735753360205	0.004190263782674356
Cytoplasm_AreaShape_Compactness	0.005101542767535532	0.0036236976331473552	0.0014768561237750854	0.0034006988414859913
Cytoplasm_Intensity_UpperQuartileIntensity_DAPI	0.004942902961017274	0.0004900016985359757	0.005825315970333418	0.0037527402099622226
Cells_Intensity_MaxIntensity_GFP	0.004921749849793131	0.0012045879549392642	0.003937144786010343	0.003354494196914246
Cells_Texture_Correlation_DAPI_3_03_256	0.004787775989327241	0.0006502323188732848	0.003400576551868679	0.0029461949533564017
Cytoplasm_Intensity_IntegratedIntensityEdge_CY5	0.004632572110270199	0.0015559494062429065	0.0024529407105060804	0.0028804874090063953
Cytoplasm_Correlation_RWC_GFP_DAPI	0.004549696242636329	0.0002892812899727665	0.005038726385204184	0.003292567972604427
Cytoplasm_AreaShape_Zernike_2_0	0.004533344289519598	0.005760261079812827	0.00037233405148069323	0.00355531314027104
Nuclei_Correlation_RWC_GFP_DAPI	0.0045186537540385435	0.0005140552268957406	0.0028552472261547356	0.0026293187356963396
Cytoplasm_Granularity_1_DAPI	0.0044612642880941565	0.001661438283384476	0.00704819715947454	0.004390299910317724
Cells_Correlation_Overlap_CY5_GFP	0.0044605446897784595	0.0016304315110959424	0.0005653240118850058	0.0022187667375864694
Cytoplasm_Texture_InverseDifferenceMoment_GFP_3_02_256	0.0044270819556131505	0.007783381720895279	0.012790420770102524	0.008333628148870318
Cytoplasm_Texture_DifferenceEntropy_GFP_3_00_256	0.004420397501912161	0.005202188736431781	0.00698178374634346	0.0055347899948958
Cytoplasm_Texture_SumAverage_DAPI_3_01_256	0.0043679093459128545	0.0025312411113249758	0.0023561745399804427	0.0030851083324060914
