Features	feature_importance
Cells_Texture_InfoMeas1_DAPI_3_03_256	0.01884686367265696
Cytoplasm_Texture_InfoMeas1_DAPI_3_02_256	0.016335444598454502
Cells_Texture_Entropy_DAPI_3_02_256	0.015665757368479215
Cytoplasm_Texture_InfoMeas1_DAPI_3_00_256	0.014136221686483014
Cytoplasm_Texture_InfoMeas2_DAPI_3_03_256	0.011914932398503705
Cytoplasm_Intensity_MeanIntensityEdge_DAPI	0.011524231615461374
Cells_Correlation_Correlation_CY5_DAPI	0.011129517319407336
Cells_Texture_AngularSecondMoment_DAPI_3_01_256	0.010656307300589137
Cells_Texture_SumAverage_DAPI_3_02_256	0.009975596339541684
Cells_Texture_SumVariance_DAPI_3_01_256	0.009904641903087064
Cells_AreaShape_MeanRadius	0.009026287699293294
Cytoplasm_Texture_DifferenceEntropy_GFP_3_02_256	0.008655473173800346
Cells_Correlation_Correlation_DAPI_GFP	0.008349741848685588
Cytoplasm_Texture_InverseDifferenceMoment_GFP_3_02_256	0.008341233427271541
Cytoplasm_AreaShape_FormFactor	0.008279852849386312
Nuclei_Texture_InfoMeas1_GFP_3_00_256	0.007870942152717044
Cytoplasm_Correlation_RWC_DAPI_GFP	0.007867754456692846
Cells_AreaShape_Solidity	0.0077171966572372975
Cells_Intensity_MeanIntensityEdge_DAPI	0.007230118303871294
Cells_AreaShape_FormFactor	0.0071396189449290555
Cytoplasm_AreaShape_MeanRadius	0.006742632973730349
Cells_Texture_InfoMeas2_DAPI_3_00_256	0.006500044100394165
Nuclei_Intensity_LowerQuartileIntensity_DAPI	0.006252800797731146
Cytoplasm_Intensity_StdIntensityEdge_DAPI	0.006211428414063879
Nuclei_Intensity_MeanIntensityEdge_GFP	0.0058474012303497145
Cells_Correlation_K_GFP_RFP	0.005555127714973931
Cytoplasm_Texture_DifferenceEntropy_GFP_3_00_256	0.00553984105045666
Cytoplasm_AreaShape_Solidity	0.005535611540497857
Cytoplasm_Texture_Correlation_DAPI_3_01_256	0.005500188276611338
Nuclei_Correlation_RWC_GFP_RFP	0.005466343690891739
Cells_Granularity_1_DAPI	0.005439840009302018
Cytoplasm_Correlation_K_DAPI_GFP	0.005362887407095069
Cytoplasm_AreaShape_Area	0.0053203002695751045
Cytoplasm_Correlation_Correlation_CY5_DAPI	0.005286781050758746
Cytoplasm_Texture_Correlation_DAPI_3_03_256	0.005131382260861555
Nuclei_Correlation_K_GFP_DAPI	0.005116433567902868
Cytoplasm_Correlation_K_RFP_DAPI	0.004989794825095635
Cells_Correlation_Costes_DAPI_RFP	0.004980771935162508
Nuclei_Intensity_IntegratedIntensity_DAPI	0.004863096211622852
Cytoplasm_Correlation_RWC_RFP_GFP	0.00483284013468596
Cytoplasm_Texture_DifferenceEntropy_RFP_3_01_256	0.0046144773699027
Cells_Correlation_RWC_DAPI_GFP	0.004580479410669132
Cytoplasm_Correlation_Costes_DAPI_RFP	0.00453816727596809
Cells_AreaShape_Zernike_2_0	0.004449744825245023
Cytoplasm_Granularity_1_DAPI	0.004394306502942973
Cells_Texture_Correlation_GFP_3_02_256	0.004321992775396629
Cells_Correlation_RWC_DAPI_RFP	0.0042733999556412395
Nuclei_Intensity_MinIntensity_DAPI	0.00419599052013179
Cytoplasm_Correlation_K_DAPI_RFP	0.004194087822105024
Nuclei_Correlation_K_RFP_CY5	0.004160403851602152
Cytoplasm_RadialDistribution_MeanFrac_CY5_4of4	0.004121853285664208
Nuclei_AreaShape_MajorAxisLength	0.004121589400775274
Cytoplasm_Texture_DifferenceEntropy_RFP_3_03_256	0.0041136437235121046
Nuclei_Intensity_StdIntensityEdge_CY5	0.003947032307415092
Nuclei_AreaShape_MinFeretDiameter	0.003909892520367688
Cytoplasm_Texture_InfoMeas2_DAPI_3_01_256	0.0039034015733363414
Nuclei_Texture_DifferenceEntropy_RFP_3_03_256	0.0038658299657954617
Nuclei_Intensity_IntegratedIntensity_RFP	0.003853221253601496
Nuclei_Intensity_IntegratedIntensityEdge_RFP	0.0038269777214117837
Cells_Intensity_UpperQuartileIntensity_DAPI	0.0038024777939572353
Nuclei_Texture_InfoMeas2_GFP_3_00_256	0.00378004199927064
Cytoplasm_Intensity_UpperQuartileIntensity_DAPI	0.0037561649648894142
Nuclei_Intensity_MaxIntensity_RFP	0.0035903893847892654
Nuclei_Correlation_RWC_RFP_GFP	0.003587369606027498
Cytoplasm_AreaShape_Zernike_2_0	0.0035585577230328653
Cells_Intensity_MeanIntensityEdge_GFP	0.00353710792777574
Nuclei_Intensity_IntegratedIntensity_GFP	0.003530622830457354
Nuclei_Correlation_RWC_CY5_GFP	0.0035128765863925927
Nuclei_AreaShape_Zernike_0_0	0.003416272946160817
Cytoplasm_AreaShape_Compactness	0.0034038023230652265
Cells_Intensity_MaxIntensity_GFP	0.0033575555120829914
Cells_Intensity_MaxIntensityEdge_RFP	0.003327547868698891
Cytoplasm_Correlation_RWC_GFP_DAPI	0.003295572773831369
Cytoplasm_Intensity_MassDisplacement_RFP	0.0032866636709853758
Nuclei_Texture_InfoMeas1_RFP_3_00_256	0.0032719001926322174
Cytoplasm_RadialDistribution_MeanFrac_DAPI_3of4	0.0032608816585726038
Cytoplasm_AreaShape_MinorAxisLength	0.003257671413467909
Nuclei_Correlation_Overlap_DAPI_GFP	0.0032560478328422385
Cells_RadialDistribution_FracAtD_GFP_2of4	0.003220166987475257
Cytoplasm_Intensity_MeanIntensityEdge_GFP	0.003218169359065299
Cytoplasm_Intensity_IntegratedIntensity_RFP	0.0031959943720700724
Cytoplasm_Intensity_MedianIntensity_GFP	0.0031825521626998826
Nuclei_Correlation_RWC_DAPI_GFP	0.003147005087414068
Cells_Intensity_StdIntensityEdge_CY5	0.0031453242364475205
Cells_Correlation_Correlation_DAPI_RFP	0.0031436273169663993
Nuclei_Texture_Correlation_GFP_3_00_256	0.0031352996794690928
Cells_Texture_Correlation_DAPI_3_00_256	0.003104167641593506
Cytoplasm_RadialDistribution_MeanFrac_GFP_4of4	0.0030976412314445436
Cytoplasm_Texture_SumAverage_DAPI_3_01_256	0.0030879238057325634
Nuclei_Correlation_RWC_GFP_CY5	0.0030465834702999555
Cytoplasm_Intensity_StdIntensity_DAPI	0.0030425779736533063
Cells_Intensity_MassDisplacement_RFP	0.0030383771259375578
Cytoplasm_Intensity_MeanIntensityEdge_CY5	0.0029855762902241257
Cytoplasm_Texture_InfoMeas1_RFP_3_02_256	0.0029740830417072533
Nuclei_Granularity_1_DAPI	0.0029615743194518545
Nuclei_Correlation_K_GFP_RFP	0.002958082172721633
Cells_Texture_Correlation_DAPI_3_03_256	0.0029488836541772547
Cytoplasm_Intensity_UpperQuartileIntensity_GFP	0.002923884967979529
Cytoplasm_Intensity_IntegratedIntensityEdge_CY5	0.0028831161450485333
Nuclei_Texture_Correlation_RFP_3_00_256	0.002873781051129309
Cytoplasm_Correlation_Costes_RFP_DAPI	0.0028687533789653248
Nuclei_Texture_Correlation_DAPI_3_01_256	0.0028181308157699506
Nuclei_RadialDistribution_MeanFrac_CY5_4of4	0.002813482335525322
Cells_Texture_Correlation_DAPI_3_02_256	0.002809250019610475
Nuclei_RadialDistribution_RadialCV_GFP_3of4	0.002798989249131107
Nuclei_Intensity_StdIntensityEdge_RFP	0.0027885231829950304
Cells_Texture_Correlation_RFP_3_01_256	0.002765808665209119
Cytoplasm_Texture_InfoMeas1_GFP_3_00_256	0.002718143610141691
Cells_RadialDistribution_FracAtD_RFP_2of4	0.0027158585105823882
Cytoplasm_Intensity_MaxIntensityEdge_CY5	0.002709574005694861
Cytoplasm_Texture_Correlation_DAPI_3_02_256	0.002665067468625445
Cells_RadialDistribution_RadialCV_CY5_3of4	0.0026587696600809565
Nuclei_Correlation_RWC_DAPI_CY5	0.0026379027269037222
Nuclei_Correlation_RWC_GFP_DAPI	0.0026317182549253364
Cytoplasm_Texture_InverseDifferenceMoment_RFP_3_02_256	0.00262628642795164
Cytoplasm_Correlation_K_GFP_DAPI	0.0026242182929278927
Nuclei_Texture_InfoMeas2_RFP_3_02_256	0.002606181527467124
Nuclei_Correlation_Correlation_DAPI_GFP	0.002599303775882178
Nuclei_Texture_SumEntropy_RFP_3_00_256	0.002589866075171857
Cytoplasm_Texture_InfoMeas1_GFP_3_03_256	0.002575261155894856
Cells_Correlation_K_DAPI_RFP	0.002572002255985383
Cytoplasm_Intensity_MassDisplacement_DAPI	0.002558364748032807
Cytoplasm_Texture_InverseDifferenceMoment_RFP_3_01_256	0.0025503008958882483
Cytoplasm_Intensity_IntegratedIntensity_GFP	0.002538150803975137
Cells_Correlation_Overlap_DAPI_RFP	0.00247347227245063
Nuclei_Correlation_RWC_RFP_CY5	0.002468942910024864
Nuclei_Texture_Correlation_RFP_3_02_256	0.0024668576154161367
Cytoplasm_RadialDistribution_FracAtD_CY5_2of4	0.002466107158500632
Cells_Correlation_RWC_DAPI_CY5	0.002464469625085917
Cytoplasm_Correlation_RWC_DAPI_CY5	0.0024564739352204348
Nuclei_AreaShape_Zernike_4_4	0.0024488115194544347
Cells_Texture_InfoMeas1_GFP_3_03_256	0.002442606522214562
Cytoplasm_Correlation_Overlap_GFP_RFP	0.0024377218078354425
Cells_Correlation_K_DAPI_CY5	0.002411575699432974
Cells_RadialDistribution_MeanFrac_RFP_4of4	0.0023948719483896045
Cells_Correlation_K_GFP_DAPI	0.0023687197409105387
Nuclei_Intensity_MADIntensity_GFP	0.002353497284906704
Cells_Intensity_StdIntensityEdge_RFP	0.00234305729836049
Cells_Texture_InverseDifferenceMoment_DAPI_3_02_256	0.0023430400322646643
Nuclei_RadialDistribution_MeanFrac_RFP_3of4	0.002336834799981838
Nuclei_Correlation_K_RFP_GFP	0.002333210397401062
Nuclei_Intensity_IntegratedIntensityEdge_DAPI	0.0023259815459935247
Cells_Intensity_StdIntensityEdge_GFP	0.002314981134933614
Nuclei_Texture_InfoMeas2_DAPI_3_01_256	0.0023009625435335065
Cells_Intensity_LowerQuartileIntensity_GFP	0.0022987215675782423
Cytoplasm_Correlation_K_DAPI_CY5	0.002279519608238462
Nuclei_Texture_DifferenceEntropy_RFP_3_00_256	0.002275896382142792
Cells_Texture_InfoMeas1_RFP_3_00_256	0.0022672009847726567
Nuclei_Correlation_K_RFP_DAPI	0.002263557763203001
Cells_Granularity_1_GFP	0.0022425610602283476
Cells_Intensity_IntegratedIntensityEdge_DAPI	0.0022390530021643433
Cells_Correlation_Overlap_CY5_GFP	0.0022207915866012417
Cytoplasm_RadialDistribution_MeanFrac_DAPI_4of4	0.002203790297923928
Cytoplasm_Correlation_Overlap_DAPI_RFP	0.0021941802708707694
Nuclei_Correlation_RWC_DAPI_RFP	0.0021840440251317105
Nuclei_RadialDistribution_FracAtD_CY5_3of4	0.0021586717193130076
Nuclei_Texture_Correlation_GFP_3_02_256	0.0021542431562299397
Cytoplasm_RadialDistribution_MeanFrac_GFP_3of4	0.0021499053944707726
Cells_RadialDistribution_MeanFrac_GFP_3of4	0.0021387750357369146
Cells_RadialDistribution_MeanFrac_CY5_3of4	0.0021359641970191924
Cells_Correlation_RWC_CY5_DAPI	0.0021308203334695786
Nuclei_Texture_InfoMeas1_RFP_3_02_256	0.0021112146058553283
Cells_Texture_Correlation_RFP_3_03_256	0.0021027598241153125
Nuclei_AreaShape_FormFactor	0.002099135831839864
Nuclei_Intensity_MedianIntensity_RFP	0.0020985014038264692
Cells_RadialDistribution_MeanFrac_DAPI_4of4	0.0020813353453230992
Nuclei_RadialDistribution_FracAtD_DAPI_1of4	0.0020744543905492113
Cells_Texture_InfoMeas1_GFP_3_00_256	0.0020695217069089463
Nuclei_Correlation_Overlap_CY5_RFP	0.0020488306750737085
Cells_Intensity_IntegratedIntensityEdge_GFP	0.002038163209240278
Nuclei_Correlation_Correlation_CY5_DAPI	0.0019875027427818546
Cytoplasm_Intensity_MaxIntensityEdge_RFP	0.0019834031622827427
Cells_Texture_Contrast_DAPI_3_00_256	0.001963942486030369
Cells_Texture_Correlation_DAPI_3_01_256	0.001958755598375685
Cells_Granularity_1_CY5	0.001955579267358945
Cells_Intensity_MaxIntensityEdge_GFP	0.0019354468090764536
Cells_RadialDistribution_FracAtD_DAPI_1of4	0.0019266807853316758
Nuclei_AreaShape_Zernike_5_1	0.0019086786264750823
Nuclei_Texture_Correlation_DAPI_3_03_256	0.0019078227777539543
Cells_RadialDistribution_FracAtD_RFP_3of4	0.0018956653929272866
Cytoplasm_RadialDistribution_MeanFrac_CY5_2of4	0.0018824819197978387
Cells_RadialDistribution_FracAtD_RFP_1of4	0.001875092299762112
Nuclei_AreaShape_Eccentricity	0.0018698839266877772
Nuclei_RadialDistribution_RadialCV_GFP_4of4	0.0018601862005772913
Cytoplasm_AreaShape_MajorAxisLength	0.001852016733888942
Cytoplasm_Texture_InfoMeas1_GFP_3_02_256	0.0018474721525471873
Cytoplasm_Correlation_RWC_GFP_RFP	0.0018461204196617283
Nuclei_Correlation_Overlap_GFP_RFP	0.001829338054164652
Nuclei_Intensity_StdIntensityEdge_DAPI	0.0018187923707737373
Cytoplasm_RadialDistribution_RadialCV_GFP_3of4	0.0018040879863299609
Nuclei_RadialDistribution_MeanFrac_GFP_2of4	0.001771634343417671
Cytoplasm_Correlation_RWC_CY5_RFP	0.0017699917098157054
Cells_AreaShape_Zernike_4_2	0.0017562262457596009
Cytoplasm_RadialDistribution_RadialCV_DAPI_2of4	0.001751950879822138
Cytoplasm_Texture_InfoMeas1_GFP_3_01_256	0.0017489721097515606
Nuclei_RadialDistribution_MeanFrac_DAPI_4of4	0.0017425906920562884
Nuclei_Texture_Correlation_RFP_3_03_256	0.001725265416167503
Cells_RadialDistribution_RadialCV_CY5_4of4	0.0017201224231982292
Nuclei_RadialDistribution_MeanFrac_RFP_4of4	0.0017194595933577056
Nuclei_Correlation_Correlation_CY5_GFP	0.0017113022308172595
Cells_AreaShape_Zernike_1_1	0.0016881847356168252
Nuclei_AreaShape_Zernike_1_1	0.0016871521595908827
Nuclei_RadialDistribution_MeanFrac_CY5_3of4	0.0016708195510700694
Cells_Texture_Correlation_RFP_3_00_256	0.0016649076223930947
Cells_Intensity_StdIntensityEdge_DAPI	0.0016547557240861018
Nuclei_Texture_DifferenceEntropy_RFP_3_01_256	0.0016475363233723452
Cytoplasm_AreaShape_Zernike_2_2	0.0016458575262327318
Cells_Texture_InfoMeas1_GFP_3_02_256	0.0016447993666666944
Nuclei_Intensity_LowerQuartileIntensity_GFP	0.0016441863928007914
Cytoplasm_Intensity_MaxIntensityEdge_GFP	0.0016323586686510076
Cytoplasm_Intensity_MADIntensity_DAPI	0.0016123358899034661
Nuclei_RadialDistribution_MeanFrac_GFP_4of4	0.001597167146587545
Nuclei_Correlation_Overlap_CY5_DAPI	0.0015932957396232695
Nuclei_AreaShape_Zernike_2_0	0.0015920412437514368
Cytoplasm_Texture_Contrast_RFP_3_00_256	0.00156550903224501
Nuclei_Texture_DifferenceEntropy_RFP_3_02_256	0.001563019790476707
Nuclei_AreaShape_Compactness	0.001562129940847795
Nuclei_Intensity_MADIntensity_CY5	0.00153812323145127
Cells_Intensity_MeanIntensityEdge_RFP	0.0015301078479185025
Cells_Correlation_K_RFP_DAPI	0.0015243657992624379
Cytoplasm_Texture_Correlation_GFP_3_03_256	0.0015209325448561533
Cells_Correlation_RWC_GFP_DAPI	0.001511844416609125
Nuclei_Correlation_Correlation_GFP_RFP	0.001488407577522549
Nuclei_Intensity_StdIntensityEdge_GFP	0.0014757312963965504
Nuclei_Texture_Correlation_DAPI_3_02_256	0.0014677001653347285
Cytoplasm_AreaShape_BoundingBoxArea	0.0014669852149769265
Cytoplasm_Correlation_Manders_RFP_DAPI	0.0014620111286262926
Nuclei_RadialDistribution_MeanFrac_DAPI_3of4	0.0014595896035764606
Nuclei_Intensity_MADIntensity_DAPI	0.0014595586252124505
Cytoplasm_Intensity_MedianIntensity_CY5	0.00144860721013468
Cytoplasm_Texture_Contrast_DAPI_3_00_256	0.0014468049572822995
Nuclei_Intensity_MaxIntensity_DAPI	0.0014395594395298509
Nuclei_RadialDistribution_MeanFrac_DAPI_2of4	0.0014384336580873772
Nuclei_RadialDistribution_FracAtD_RFP_2of4	0.0014381500314747057
Nuclei_Correlation_Overlap_DAPI_RFP	0.001427323205003093
Nuclei_Texture_InverseDifferenceMoment_RFP_3_03_256	0.0014125078896046837
Nuclei_RadialDistribution_FracAtD_DAPI_3of4	0.0014041123798663264
Cytoplasm_Texture_Correlation_GFP_3_01_256	0.0013815773669835889
Cytoplasm_Correlation_Correlation_DAPI_RFP	0.0013797983393062107
Cells_Intensity_MassDisplacement_DAPI	0.0013714187314474845
Cells_Texture_Correlation_RFP_3_02_256	0.0013667277682845383
Nuclei_Texture_Correlation_RFP_3_01_256	0.0013586004983972247
Nuclei_AreaShape_Zernike_2_2	0.001358406694791379
Cytoplasm_RadialDistribution_RadialCV_CY5_4of4	0.001356441963643385
Cytoplasm_Texture_Correlation_DAPI_3_00_256	0.0013455215754926354
Nuclei_RadialDistribution_FracAtD_RFP_3of4	0.001342571172823661
Cells_Correlation_Overlap_CY5_DAPI	0.001329425709349729
