siRNA_Concentration,Percent_NF1_vs_Scramble,Construct
10,100,Scramble_Average
1,100,Scramble_Average
0.1,100,Scramble_Average
0.01,100,Scramble_Average
0.001,100,Scramble_Average
0.0001,100,Scramble_Average
0.00001,100,Scramble_Average
0.000001,100,Scramble_Average
0.0000001,100,Scramble_Average
0.00000001,100,Scramble_Average
10,99.72003733,Scramble_1
1,100.7552514,Scramble_1
0.1,100.2866593,Scramble_1
0.01,97.89706243,Scramble_1
0.001,98.78138848,Scramble_1
0.0001,102.1223262,Scramble_1
0.00001,100.199077,Scramble_1
0.000001,99.47111473,Scramble_1
0.0000001,100.8367072,Scramble_1
0.00000001,101.1826967,Scramble_1
10,98.9734702,Scramble_2
1,99.3249941,Scramble_2
0.1,101.4509372,Scramble_2
0.01,101.2110302,Scramble_2
0.001,100.7877893,Scramble_2
0.0001,99.00150401,Scramble_2
0.00001,99.66971315,Scramble_2
0.000001,102.4816924,Scramble_2
0.0000001,100.3643725,Scramble_2
0.00000001,99.7330879,Scramble_2
10,101.3064925,Scramble_3
1,99.91975454,Scramble_3
0.1,98.26240353,Scramble_3
0.01,100.8919074,Scramble_3
0.001,100.4308223,Scramble_3
0.0001,98.87616979,Scramble_3
0.00001,100.1312098,Scramble_3
0.000001,98.04719284,Scramble_3
0.0000001,98.79892038,Scramble_3
0.00000001,99.08421537,Scramble_3
10,23.56574679,NF1_Average
1,26.10337503,NF1_Average
0.1,34.91510474,NF1_Average
0.01,82.58734964,NF1_Average
0.001,94.67421631,NF1_Average
0.0001,115.1069519,NF1_Average
0.00001,103.7462673,NF1_Average
0.000001,102.1200615,NF1_Average
0.0000001,94.10706253,NF1_Average
0.00000001,98.62402209,NF1_Average
10,22.49033462,NF1_1
1,24.8808119,NF1_1
0.1,33.93605292,NF1_1
0.01,80.73807381,NF1_1
0.001,93.16838996,NF1_1
0.0001,121.7747326,NF1_1
0.00001,104.6783097,NF1_1
0.000001,99.29481964,NF1_1
0.0000001,90.28340081,NF1_1
0.00000001,93.65853659,NF1_1
10,24.10345287,NF1_2
1,25.53221619,NF1_2
0.1,34.43880926,NF1_2
0.01,83.78201457,NF1_2
0.001,93.40226489,NF1_2
0.0001,118.5787099,NF1_2
0.00001,101.2849516,NF1_2
0.000001,102.1155411,NF1_2
0.0000001,94.64237517,NF1_2
0.00000001,98.68384722,NF1_2
10,24.10345287,NF1_3
1,27.897097,NF1_3
0.1,36.37045204,NF1_3
0.01,83.24196056,NF1_3
0.001,97.45199409,NF1_3
0.0001,104.9674131,NF1_3
0.00001,105.2755407,NF1_3
0.000001,104.9498237,NF1_3
0.0000001,97.39541161,NF1_3
0.00000001,103.5296825,NF1_3
